Common name;Scientific name;Status;No.;No. Back
Common Ostrich;Struthio camelus;;5;0
Somali Ostrich;Struthio molybdophanes;;1;0
Greater Rhea;Rhea americana;;22;1
Lesser Rhea;Rhea pennata;;4;0
Southern Brown Kiwi;Apteryx australis;;3;0
North Island Brown Kiwi;Apteryx mantelli;;16;0
Okarito Kiwi;Apteryx rowi;;5;0
Little Spotted Kiwi;Apteryx owenii;;6;0
Great Spotted Kiwi;Apteryx haastii;;6;0
Southern Cassowary;Casuarius casuarius;;20;0
Dwarf Cassowary;Casuarius bennetti;;2;0
Northern Cassowary;Casuarius unappendiculatus;;6;1
Emu;Dromaius novaehollandiae;;14;1
Grey Tinamou;Tinamus tao;;55;82
Solitary Tinamou;Tinamus solitarius;;57;45
Black Tinamou;Tinamus osgoodi;;11;1
Great Tinamou;Tinamus major;;109;265
White-throated Tinamou;Tinamus guttatus;;47;367
Highland Tinamou;Nothocercus bonapartei;;40;17
Tawny-breasted Tinamou;Nothocercus julius;;51;9
Hooded Tinamou;Nothocercus nigrocapillus;;14;5
Berlepsch's Tinamou;Crypturellus berlepschi;;9;0
Cinereous Tinamou;Crypturellus cinereus;;222;295
Little Tinamou;Crypturellus soui;;322;438
Tepui Tinamou;Crypturellus ptaritepui;;2;0
Brown Tinamou;Crypturellus obsoletus;;183;168
Undulated Tinamou;Crypturellus undulatus;;172;709
Pale-browed Tinamou;Crypturellus transfasciatus;;31;130
Brazilian Tinamou;Crypturellus strigulosus;;65;140
Grey-legged Tinamou;Crypturellus duidae;;11;5
Red-legged Tinamou;Crypturellus erythropus;;32;12
Yellow-legged Tinamou;Crypturellus noctivagus;;43;69
Black-capped Tinamou;Crypturellus atrocapillus;;29;46
Thicket Tinamou;Crypturellus cinnamomeus;;46;38
Slaty-breasted Tinamou;Crypturellus boucardi;;23;18
Choco Tinamou;Crypturellus kerriae;;7;0
Variegated Tinamou;Crypturellus variegatus;;71;97
Rusty Tinamou;Crypturellus brevirostris;;10;0
Bartlett's Tinamou;Crypturellus bartletti;;40;83
Small-billed Tinamou;Crypturellus parvirostris;;74;49
Barred Tinamou;Crypturellus casiquiare;;3;0
Tataupa Tinamou;Crypturellus tataupa;;102;85
Red-winged Tinamou;Rhynchotus rufescens;;64;125
Huayco Tinamou;Rhynchotus maculicollis;;10;6
Taczanowski's Tinamou;Nothoprocta taczanowskii;;7;1
Ornate Tinamou;Nothoprocta ornata;;12;0
Chilean Tinamou;Nothoprocta perdicaria;;11;1
Brushland Tinamou;Nothoprocta cinerascens;;22;4
Andean Tinamou;Nothoprocta pentlandii;;36;3
Curve-billed Tinamou;Nothoprocta curvirostris;;5;0
White-bellied Nothura;Nothura boraquira;;24;7
Lesser Nothura;Nothura minor;;8;0
Darwin's Nothura;Nothura darwinii;;19;7
Spotted Nothura;Nothura maculosa;;66;23
Dwarf Tinamou;Taoniscus nanus;;38;1
Elegant Crested Tinamou;Eudromia elegans;;14;1
Quebracho Crested Tinamou;Eudromia formosa;;8;0
Puna Tinamou;Tinamotis pentlandii;;11;0
Patagonian Tinamou;Tinamotis ingoufi;;1;0
Horned Screamer;Anhima cornuta;;72;26
Northern Screamer;Chauna chavaria;;14;1
Southern Screamer;Chauna torquata;;80;44
Magpie Goose;Anseranas semipalmata;;16;12
White-faced Whistling Duck;Dendrocygna viduata;;117;34
Black-bellied Whistling Duck;Dendrocygna autumnalis;;188;79
Spotted Whistling Duck;Dendrocygna guttata;;6;2
West Indian Whistling Duck;Dendrocygna arborea;;10;2
Fulvous Whistling Duck;Dendrocygna bicolor;;51;7
Plumed Whistling Duck;Dendrocygna eytoni;;12;5
Wandering Whistling Duck;Dendrocygna arcuata;;20;6
Lesser Whistling Duck;Dendrocygna javanica;;40;6
White-backed Duck;Thalassornis leuconotus;;1;0
Cape Barren Goose;Cereopsis novaehollandiae;;3;0
Brant Goose;Branta bernicla;;129;23
Red-breasted Goose;Branta ruficollis;;6;1
Nene;Branta sandvicensis;;12;2
Canada Goose;Branta canadensis;;371;993
Barnacle Goose;Branta leucopsis;;240;114
Cackling Goose;Branta hutchinsii;;48;17
Bar-headed Goose;Anser indicus;;35;18
Emperor Goose;Anser canagicus;;7;0
Ross's Goose;Anser rossii;;33;2
Snow Goose;Anser caerulescens;;110;44
Greylag Goose;Anser anser;;490;1405
Swan Goose;Anser cygnoides;;27;16
Taiga Bean Goose;Anser fabalis;;87;21
Pink-footed Goose;Anser brachyrhynchus;;233;68
Tundra Bean Goose;Anser serrirostris;;56;27
Greater White-fronted Goose;Anser albifrons;;258;115
Lesser White-fronted Goose;Anser erythropus;;19;1
Coscoroba Swan;Coscoroba coscoroba;;29;9
Black Swan;Cygnus atratus;;25;7
Black-necked Swan;Cygnus melancoryphus;;17;1
Mute Swan;Cygnus olor;;287;119
Trumpeter Swan;Cygnus buccinator;;59;10
Tundra Swan;Cygnus columbianus;;114;40
Whooper Swan;Cygnus cygnus;;334;214
Freckled Duck;Stictonetta naevosa;;6;0
Blue Duck;Hymenolaimus malacorhynchos;;0;0
Flying Steamer Duck;Tachyeres patachonicus;;17;2
Fuegian Steamer Duck;Tachyeres pteneres;;7;0
Falkland Steamer Duck;Tachyeres brachypterus;;11;0
Chubut Steamer Duck;Tachyeres leucocephalus;;3;0
Torrent Duck;Merganetta armata;;7;0
Spur-winged Goose;Plectropterus gambensis;;12;2
Comb Duck;Sarkidiornis sylvicola;;3;0
Knob-billed Duck;Sarkidiornis melanotos;;1;0
Blue-winged Goose;Cyanochen cyanoptera;;8;0
Egyptian Goose;Alopochen aegyptiaca;;166;134
Mauritius Sheldgoose;Alopochen mauritiana;Extinct;0;0
Reunion Sheldgoose;Alopochen kervazoi;Extinct;0;0
Orinoco Goose;Neochen jubata;;28;3
Andean Goose;Chloephaga melanoptera;;46;1
Upland Goose;Chloephaga picta;;27;1
Kelp Goose;Chloephaga hybrida;;7;3
Ashy-headed Goose;Chloephaga poliocephala;;6;1
Ruddy-headed Goose;Chloephaga rubidiceps;;10;0
Raja Shelduck;Radjah radjah;;13;0
Common Shelduck;Tadorna tadorna;;204;188
Ruddy Shelduck;Tadorna ferruginea;;133;79
South African Shelduck;Tadorna cana;;20;9
Australian Shelduck;Tadorna tadornoides;;12;4
Paradise Shelduck;Tadorna variegata;;16;8
Crested Shelduck;Tadorna cristata;Extinct;0;0
Pink-eared Duck;Malacorhynchus membranaceus;;5;2
Salvadori's Teal;Salvadorina waigiuensis;;2;0
Muscovy Duck;Cairina moschata;;27;4
White-winged Duck;Asarcornis scutulata;;4;0
Hartlaub's Duck;Pteronetta hartlaubii;;1;0
Wood Duck;Aix sponsa;;68;33
Mandarin Duck;Aix galericulata;;75;1
Maned Duck;Chenonetta jubata;;17;8
African Pygmy Goose;Nettapus auritus;;13;0
Cotton Pygmy Goose;Nettapus coromandelianus;;7;1
Green Pygmy Goose;Nettapus pulchellus;;3;0
Brazilian Teal;Amazonetta brasiliensis;;50;5
Ringed Teal;Callonetta leucophrys;;7;1
Crested Duck;Lophonetta specularioides;;37;5
Bronze-winged Duck;Speculanas specularis;;5;0
Baikal Teal;Sibirionetta formosa;;5;0
Garganey;Spatula querquedula;;98;22
Hottentot Teal;Spatula hottentota;;3;0
Puna Teal;Spatula puna;;19;0
Silver Teal;Spatula versicolor;;10;0
Red Shoveler;Spatula platalea;;5;0
Cinnamon Teal;Spatula cyanoptera;;22;2
Blue-winged Teal;Spatula discors;;76;20
Cape Shoveler;Spatula smithii;;9;0
Australasian Shoveler;Spatula rhynchotis;;2;0
Northern Shoveler;Spatula clypeata;;110;141
Gadwall;Mareca strepera;;208;201
Falcated Duck;Mareca falcata;;20;7
Eurasian Wigeon;Mareca penelope;;265;167
Chiloe Wigeon;Mareca sibilatrix;;33;9
American Wigeon;Mareca americana;;65;30
Amsterdam Wigeon;Mareca marecula;Extinct;0;0
African Black Duck;Anas sparsa;;7;2
Yellow-billed Duck;Anas undulata;;30;9
Meller's Duck;Anas melleri;;4;0
Pacific Black Duck;Anas superciliosa;;22;9
Laysan Duck;Anas laysanensis;;13;3
Hawaiian Duck;Anas wyvilliana;;6;3
Philippine Duck;Anas luzonica;;4;0
Indian Spot-billed Duck;Anas poecilorhyncha;;27;8
Eastern Spot-billed Duck;Anas zonorhyncha;;26;17
Mallard;Anas platyrhynchos;;591;1229
Mottled Duck;Anas fulvigula;;16;9
American Black Duck;Anas rubripes;;16;2
Mexican Duck;Anas diazi;;24;11
Cape Teal;Anas capensis;;4;0
White-cheeked Pintail;Anas bahamensis;;7;2
Red-billed Teal;Anas erythrorhyncha;;5;1
Yellow-billed Pintail;Anas georgica;;40;20
Eaton's Pintail;Anas eatoni;;0;0
Northern Pintail;Anas acuta;;80;78
Eurasian Teal;Anas crecca;;338;237
Green-winged Teal;Anas carolinensis;;53;25
Yellow-billed Teal;Anas flavirostris;;43;2
Andean Teal;Anas andium;;24;3
Sunda Teal;Anas gibberifrons;;8;0
Andaman Teal;Anas albogularis;;5;1
Mascarene Teal;Anas theodori;Extinct;0;0
Grey Teal;Anas gracilis;;16;8
Chestnut Teal;Anas castanea;;5;0
Bernier's Teal;Anas bernieri;;1;0
Brown Teal;Anas chlorotis;;2;0
Auckland Teal;Anas aucklandica;;0;0
Campbell Teal;Anas nesiotis;;4;0
Marbled Duck;Marmaronetta angustirostris;;5;0
Pink-headed Duck;Rhodonessa caryophyllacea;Extinct;0;0
Red-crested Pochard;Netta rufina;;41;25
Rosy-billed Pochard;Netta peposaca;;12;0
Southern Pochard;Netta erythrophthalma;;6;0
Canvasback;Aythya valisineria;;10;1
Redhead;Aythya americana;;17;2
Common Pochard;Aythya ferina;;79;10
Hardhead;Aythya australis;;1;0
Madagascan Pochard;Aythya innotata;;4;0
Baer's Pochard;Aythya baeri;;1;0
Ferruginous Duck;Aythya nyroca;;14;0
New Zealand Scaup;Aythya novaeseelandiae;;1;0
Ring-necked Duck;Aythya collaris;;35;1
Tufted Duck;Aythya fuligula;;134;41
Greater Scaup;Aythya marila;;23;0
Lesser Scaup;Aythya affinis;;9;1
Steller's Eider;Polysticta stelleri;;6;0
Spectacled Eider;Somateria fischeri;;7;0
King Eider;Somateria spectabilis;;16;1
Common Eider;Somateria mollissima;;103;74
Harlequin Duck;Histrionicus histrionicus;;32;1
Labrador Duck;Camptorhynchus labradorius;Extinct;0;0
Surf Scoter;Melanitta perspicillata;;20;1
Velvet Scoter;Melanitta fusca;;21;4
White-winged Scoter;Melanitta deglandi;;1;0
Common Scoter;Melanitta nigra;;179;13
Black Scoter;Melanitta americana;;26;10
Long-tailed Duck;Clangula hyemalis;;97;34
Bufflehead;Bucephala albeola;;18;0
Common Goldeneye;Bucephala clangula;;144;48
Barrow's Goldeneye;Bucephala islandica;;35;1
Smew;Mergellus albellus;;18;2
Hooded Merganser;Lophodytes cucullatus;;27;6
New Zealand Merganser;Mergus australis;Extinct;0;0
Brazilian Merganser;Mergus octosetaceus;;12;0
Common Merganser;Mergus merganser;;126;15
Red-breasted Merganser;Mergus serrator;;51;14
Scaly-sided Merganser;Mergus squamatus;;2;0
Black-headed Duck;Heteronetta atricapilla;;10;0
Masked Duck;Nomonyx dominicus;;14;0
Ruddy Duck;Oxyura jamaicensis;;33;11
Andean Duck;Oxyura ferruginea;;17;0
Lake Duck;Oxyura vittata;;1;0
Blue-billed Duck;Oxyura australis;;0;0
Maccoa Duck;Oxyura maccoa;;3;0
White-headed Duck;Oxyura leucocephala;;5;3
Musk Duck;Biziura lobata;;11;0
Australian Brushturkey;Alectura lathami;;22;9
Wattled Brushturkey;Aepypodius arfakianus;;1;0
Waigeo Brushturkey;Aepypodius bruijnii;;0;0
Red-billed Brushturkey;Talegalla cuvieri;;4;1
Black-billed Brushturkey;Talegalla fuscirostris;;20;2
Collared Brushturkey;Talegalla jobiensis;;19;3
Malleefowl;Leipoa ocellata;;1;0
Maleo;Macrocephalon maleo;;7;1
Moluccan Megapode;Eulipoa wallacei;;6;0
Tongan Megapode;Megapodius pritchardii;;14;0
Micronesian Megapode;Megapodius laperouse;;7;0
Nicobar Megapode;Megapodius nicobariensis;;2;0
Philippine Megapode;Megapodius cumingii;;16;5
Sula Megapode;Megapodius bernsteinii;;5;0
Tanimbar Megapode;Megapodius tenimberensis;;1;0
Dusky Megapode;Megapodius freycinet;;40;15
Biak Scrubfowl;Megapodius geelvinkianus;;9;0
Melanesian Megapode;Megapodius eremita;;12;2
Vanuatu Megapode;Megapodius layardi;;3;0
New Guinea Scrubfowl;Megapodius decollatus;;6;0
Orange-footed Scrubfowl;Megapodius reinwardt;;52;26
Plain Chachalaca;Ortalis vetula;;83;54
Grey-headed Chachalaca;Ortalis cinereiceps;;34;6
Chestnut-winged Chachalaca;Ortalis garrula;;43;8
Rufous-vented Chachalaca;Ortalis ruficauda;;47;14
Rufous-headed Chachalaca;Ortalis erythroptera;;36;16
Rufous-bellied Chachalaca;Ortalis wagleri;;52;89
West Mexican Chachalaca;Ortalis poliocephala;;30;26
Chaco Chachalaca;Ortalis canicollis;;86;106
White-bellied Chachalaca;Ortalis leucogastra;;19;3
Speckled Chachalaca;Ortalis guttata;;94;116
East Brazilian Chachalaca;Ortalis araucuan;;15;6
Scaled Chachalaca;Ortalis squamata;;16;1
Colombian Chachalaca;Ortalis columbiana;;108;47
Little Chachalaca;Ortalis motmot;;39;27
Chestnut-headed Chachalaca;Ortalis ruficeps;;4;0
Buff-browed Chachalaca;Ortalis superciliaris;;8;1
Band-tailed Guan;Penelope argyrotis;;47;8
Bearded Guan;Penelope barbata;;27;11
Baudo Guan;Penelope ortoni;;13;1
Andean Guan;Penelope montagnii;;124;27
Marail Guan;Penelope marail;;19;2
Rusty-margined Guan;Penelope superciliaris;;37;3
Red-faced Guan;Penelope dabbenei;;23;0
Crested Guan;Penelope purpurascens;;88;33
Cauca Guan;Penelope perspicax;;54;10
White-winged Guan;Penelope albipennis;;20;9
Spix's Guan;Penelope jacquacu;;55;186
Dusky-legged Guan;Penelope obscura;;106;17
White-crested Guan;Penelope pileata;;10;1
Chestnut-bellied Guan;Penelope ochrogaster;;10;0
White-browed Guan;Penelope jacucaca;;3;2
Trinidad Piping Guan;Pipile pipile;;1;0
Blue-throated Piping Guan;Pipile cumanensis;;42;48
Red-throated Piping Guan;Pipile cujubi;;15;4
Black-fronted Piping Guan;Pipile jacutinga;;12;0
Wattled Guan;Aburria aburri;;59;29
Black Guan;Chamaepetes unicolor;;6;0
Sickle-winged Guan;Chamaepetes goudotii;;44;2
Highland Guan;Penelopina nigra;;38;65
Horned Guan;Oreophasis derbianus;;16;7
Nocturnal Curassow;Nothocrax urumutum;;24;2
Crestless Curassow;Mitu tomentosum;;19;2
Salvin's Curassow;Mitu salvini;;16;0
Razor-billed Curassow;Mitu tuberosum;;28;70
Alagoas Curassow;Mitu mitu;;0;0
Helmeted Curassow;Pauxi pauxi;;8;0
Horned Curassow;Pauxi unicornis;;0;0
Sira Curassow;Pauxi koepckeae;;7;0
Great Curassow;Crax rubra;;27;2
Blue-billed Curassow;Crax alberti;;27;0
Yellow-knobbed Curassow;Crax daubentoni;;6;0
Black Curassow;Crax alector;;21;2
Wattled Curassow;Crax globulosa;;12;3
Bare-faced Curassow;Crax fasciolata;;58;8
Red-billed Curassow;Crax blumenbachii;;11;1
White-breasted Guineafowl;Agelastes meleagrides;;1;0
Black Guineafowl;Agelastes niger;;0;0
Helmeted Guineafowl;Numida meleagris;;88;113
Plumed Guineafowl;Guttera plumifera;;4;0
Crested Guineafowl;Guttera pucherani;;10;2
Vulturine Guineafowl;Acryllium vulturinum;;3;0
Stone Partridge;Ptilopachus petrosus;;35;10
Nahan's Partridge;Ptilopachus nahani;;2;0
Bearded Wood Partridge;Dendrortyx barbatus;;7;0
Long-tailed Wood Partridge;Dendrortyx macroura;;31;5
Buffy-crowned Wood Partridge;Dendrortyx leucophrys;;15;5
Mountain Quail;Oreortyx pictus;;78;202
Scaled Quail;Callipepla squamata;;53;23
Elegant Quail;Callipepla douglasii;;51;99
California Quail;Callipepla californica;;151;214
Gambel's Quail;Callipepla gambelii;;102;713
Banded Quail;Philortyx fasciatus;;14;0
Northern Bobwhite;Colinus virginianus;;93;90
Yucatan Bobwhite;Colinus nigrogularis;;7;1
Spot-bellied Bobwhite;Colinus leucopogon;;26;31
Crested Bobwhite;Colinus cristatus;;57;43
Marbled Wood Quail;Odontophorus gujanensis;;82;11
Spot-winged Wood Quail;Odontophorus capueira;;68;11
Black-eared Wood Quail;Odontophorus melanotis;;26;0
Rufous-fronted Wood Quail;Odontophorus erythrops;;32;6
Black-fronted Wood Quail;Odontophorus atrifrons;;17;2
Chestnut Wood Quail;Odontophorus hyperythrus;;95;3
Dark-backed Wood Quail;Odontophorus melanonotus;;28;7
Rufous-breasted Wood Quail;Odontophorus speciosus;;30;4
Tacarcuna Wood Quail;Odontophorus dialeucos;;1;0
Gorgeted Wood Quail;Odontophorus strophium;;36;1
Venezuelan Wood Quail;Odontophorus columbianus;;6;0
Black-breasted Wood Quail;Odontophorus leucolaemus;;20;0
Stripe-faced Wood Quail;Odontophorus balliviani;;14;5
Starred Wood Quail;Odontophorus stellatus;;32;39
Spotted Wood Quail;Odontophorus guttatus;;41;4
Singing Quail;Dactylortyx thoracicus;;35;12
Montezuma Quail;Cyrtonyx montezumae;;72;22
Ocellated Quail;Cyrtonyx ocellatus;;17;1
Tawny-faced Quail;Rhynchortyx cinctus;;40;12
Wild Turkey;Meleagris gallopavo;;86;89
Ocellated Turkey;Meleagris ocellata;;11;0
Ruffed Grouse;Bonasa umbellus;;34;16
Hazel Grouse;Tetrastes bonasia;;178;16
Chinese Grouse;Tetrastes sewerzowi;;1;0
Siberian Grouse;Falcipennis falcipennis;;1;0
Spruce Grouse;Falcipennis canadensis;;24;0
Western Capercaillie;Tetrao urogallus;;81;7
Black-billed Capercaillie;Tetrao urogalloides;;15;0
Black Grouse;Lyrurus tetrix;;142;152
Caucasian Grouse;Lyrurus mlokosiewiczi;;1;0
Sage Grouse;Centrocercus urophasianus;;30;1
Gunnison Grouse;Centrocercus minimus;;7;0
Dusky Grouse;Dendragapus obscurus;;20;0
Sooty Grouse;Dendragapus fuliginosus;;38;8
Sharp-tailed Grouse;Tympanuchus phasianellus;;45;20
Lesser Prairie Chicken;Tympanuchus pallidicinctus;;19;0
Greater Prairie Chicken;Tympanuchus cupido;;37;3
White-tailed Ptarmigan;Lagopus leucura;;44;1
Rock Ptarmigan;Lagopus muta;;58;9
Willow Ptarmigan;Lagopus lagopus;;105;54
Snow Partridge;Lerwa lerwa;;14;0
Verreaux's Monal-Partridge;Tetraophasis obscurus;;15;0
Szechenyi's Monal-Partridge;Tetraophasis szechenyii;;10;0
Caucasian Snowcock;Tetraogallus caucasicus;;9;2
Caspian Snowcock;Tetraogallus caspius;;12;1
Himalayan Snowcock;Tetraogallus himalayensis;;9;1
Tibetan Snowcock;Tetraogallus tibetanus;;16;1
Altai Snowcock;Tetraogallus altaicus;;18;9
Rock Partridge;Alectoris graeca;;39;0
Chukar Partridge;Alectoris chukar;;52;28
Przevalski's Partridge;Alectoris magna;;11;0
Philby's Partridge;Alectoris philbyi;;5;1
Barbary Partridge;Alectoris barbara;;17;0
Red-legged Partridge;Alectoris rufa;;216;1225
Arabian Partridge;Alectoris melanocephala;;9;4
See-see Partridge;Ammoperdix griseogularis;;3;1
Sand Partridge;Ammoperdix heyi;;7;2
Black Francolin;Francolinus francolinus;;57;16
Painted Francolin;Francolinus pictus;;19;4
Chinese Francolin;Francolinus pintadeanus;;38;13
Grey Francolin;Francolinus pondicerianus;;56;31
Swamp Francolin;Francolinus gularis;;10;1
Latham's Francolin;Peliperdix lathami;;8;0
Coqui Francolin;Peliperdix coqui;;21;2
White-throated Francolin;Peliperdix albogularis;;11;0
Schlegel's Francolin;Peliperdix schlegelii;;0;0
Ring-necked Francolin;Scleroptila streptophora;;0;0
Grey-winged Francolin;Scleroptila afra;;13;3
Red-winged Francolin;Scleroptila levaillantii;;23;2
Finsch's Francolin;Scleroptila finschi;;0;0
Shelley's Francolin;Scleroptila shelleyi;;19;1
Moorland Francolin;Scleroptila psilolaema;;6;0
Orange River Francolin;Scleroptila gutturalis;;19;12
Crested Francolin;Dendroperdix sephaena;;68;24
Scaly Francolin;Pternistis squamatus;;20;2
Ahanta Francolin;Pternistis ahantensis;;14;3
Grey-striped Francolin;Pternistis griseostriatus;;0;0
Hildebrandt's Francolin;Pternistis hildebrandti;;14;3
Double-spurred Francolin;Pternistis bicalcaratus;;38;44
Heuglin's Francolin;Pternistis icterorhynchus;;2;3
Clapperton's Francolin;Pternistis clappertoni;;6;0
Harwood's Francolin;Pternistis harwoodi;;6;0
Swierstra's Francolin;Pternistis swierstrai;;0;0
Mount Cameroon Francolin;Pternistis camerunensis;;2;0
Handsome Francolin;Pternistis nobilis;;2;0
Jackson's Francolin;Pternistis jacksoni;;1;0
Chestnut-naped Francolin;Pternistis castaneicollis;;9;0
Black-fronted Francolin;Pternistis atrifrons;;3;0
Djibouti Francolin;Pternistis ochropectus;;2;0
Erckel's Francolin;Pternistis erckelii;;11;3
Hartlaub's Spurfowl;Pternistis hartlaubi;;10;0
Red-billed Spurfowl;Pternistis adspersus;;15;4
Cape Spurfowl;Pternistis capensis;;14;3
Natal Spurfowl;Pternistis natalensis;;37;23
Yellow-necked Spurfowl;Pternistis leucoscepus;;15;5
Grey-breasted Spurfowl;Pternistis rufopictus;;1;0
Red-necked Spurfowl;Pternistis afer;;36;16
Swainson's Spurfowl;Pternistis swainsonii;;25;43
Grey Partridge;Perdix perdix;;240;52
Daurian Partridge;Perdix dauurica;;4;0
Tibetan Partridge;Perdix hodgsoniae;;11;0
Long-billed Partridge;Rhizothera longirostris;;13;0
Hose's Partridge;Rhizothera dulitensis;;0;0
Madagascan Partridge;Margaroperdix madagarensis;;0;0
Black Partridge;Melanoperdix niger;;3;0
Common Quail;Coturnix coturnix;;560;205
Japanese Quail;Coturnix japonica;;45;12
Rain Quail;Coturnix coromandelica;;18;0
Harlequin Quail;Coturnix delegorguei;;16;5
Stubble Quail;Coturnix pectoralis;;7;1
New Zealand Quail;Coturnix novaezelandiae;Extinct;0;0
Brown Quail;Coturnix ypsilophora;;11;1
King Quail;Excalfactoria chinensis;;8;0
Blue Quail;Excalfactoria adansonii;;0;0
Snow Mountain Quail;Anurophasis monorthonyx;;3;0
Jungle Bush Quail;Perdicula asiatica;;10;1
Rock Bush Quail;Perdicula argoondah;;1;0
Painted Bush Quail;Perdicula erythrorhyncha;;14;0
Manipur Bush Quail;Perdicula manipurensis;;0;0
Himalayan Quail;Ophrysia superciliosa;Extinct;0;0
Udzungwa Forest Partridge;Xenoperdix udzungwensis;;5;1
Rubeho Forest Partridge;Xenoperdix obscuratus;;34;0
Hill Partridge;Arborophila torqueola;;49;27
Rufous-throated Partridge;Arborophila rufogularis;;41;14
White-cheeked Partridge;Arborophila atrogularis;;14;1
Taiwan Partridge;Arborophila crudigularis;;13;4
Chestnut-breasted Partridge;Arborophila mandellii;;15;2
Bar-backed Partridge;Arborophila brunneopectus;;12;0
Sichuan Partridge;Arborophila rufipectus;;4;0
White-necklaced Partridge;Arborophila gingica;;8;0
Orange-necked Partridge;Arborophila davidi;;11;1
Chestnut-headed Partridge;Arborophila cambodiana;;0;0
Siamese Partridge;Arborophila diversa;;3;0
Malaysian Partridge;Arborophila campbelli;;21;2
Roll's Partridge;Arborophila rolli;;9;0
Sumatran Partridge;Arborophila sumatrana;;1;0
Grey-breasted Partridge;Arborophila orientalis;;31;0
Chestnut-bellied Partridge;Arborophila javanica;;22;0
Red-billed Partridge;Arborophila rubrirostris;;8;0
Red-breasted Partridge;Arborophila hyperythra;;28;0
Hainan Partridge;Arborophila ardens;;19;1
Chestnut-necklaced Partridge;Arborophila charltonii;;29;6
Green-legged Partridge;Arborophila chloropus;;39;3
Ferruginous Partridge;Caloperdix oculeus;;18;0
Crimson-headed Partridge;Haematortyx sanguiniceps;;31;0
Crested Partridge;Rollulus rouloul;;17;1
Mountain Bamboo Partridge;Bambusicola fytchii;;14;4
Chinese Bamboo Partridge;Bambusicola thoracicus;;31;9
Taiwan Bamboo Partridge;Bambusicola sonorivox;;19;5
Red Spurfowl;Galloperdix spadicea;;25;0
Painted Spurfowl;Galloperdix lunulata;;3;0
Sri Lanka Spurfowl;Galloperdix bicalcarata;;24;0
Blood Pheasant;Ithaginis cruentus;;27;4
Western Tragopan;Tragopan melanocephalus;;3;0
Satyr Tragopan;Tragopan satyra;;5;1
Blyth's Tragopan;Tragopan blythii;;11;1
Temminck's Tragopan;Tragopan temminckii;;8;1
Cabot's Tragopan;Tragopan caboti;;5;0
Koklass Pheasant;Pucrasia macrolopha;;30;2
Himalayan Monal;Lophophorus impejanus;;35;2
Sclater's Monal;Lophophorus sclateri;;2;0
Chinese Monal;Lophophorus lhuysii;;8;0
Red Junglefowl;Gallus gallus;;113;625
Grey Junglefowl;Gallus sonneratii;;52;14
Sri Lanka Junglefowl;Gallus lafayettii;;23;3
Green Junglefowl;Gallus varius;;23;3
Kalij Pheasant;Lophura leucomelanos;;18;1
Silver Pheasant;Lophura nycthemera;;10;0
Edwards's Pheasant;Lophura edwardsi;;0;0
Swinhoe's Pheasant;Lophura swinhoii;;9;0
Hoogerwerf's Pheasant;Lophura hoogerwerfi;;0;0
Salvadori's Pheasant;Lophura inornata;;2;0
Crestless Fireback;Lophura erythrophthalma;;1;0
Crested Fireback;Lophura ignita;;15;0
Siamese Fireback;Lophura diardi;;18;0
Bulwer's Pheasant;Lophura bulweri;;3;1
White Eared Pheasant;Crossoptilon crossoptilon;;12;1
Tibetan Eared Pheasant;Crossoptilon harmani;;14;0
Brown Eared Pheasant;Crossoptilon mantchuricum;;12;1
Blue Eared Pheasant;Crossoptilon auritum;;7;0
Cheer Pheasant;Catreus wallichii;;9;1
Elliot's Pheasant;Syrmaticus ellioti;;1;0
Mrs. Hume's Pheasant;Syrmaticus humiae;;6;0
Mikado Pheasant;Syrmaticus mikado;;8;0
Copper Pheasant;Syrmaticus soemmerringii;;1;0
Reeves's Pheasant;Syrmaticus reevesii;;13;0
Common Pheasant;Phasianus colchicus;;403;5223
Green Pheasant;Phasianus versicolor;;11;6
Golden Pheasant;Chrysolophus pictus;;16;2
Lady Amherst's Pheasant;Chrysolophus amherstiae;;18;3
Bronze-tailed Peacock-Pheasant;Polyplectron chalcurum;;11;0
Mountain Peacock-Pheasant;Polyplectron inopinatum;;7;0
Germain's Peacock-Pheasant;Polyplectron germaini;;20;4
Grey Peacock-Pheasant;Polyplectron bicalcaratum;;32;4
Hainan Peacock-Pheasant;Polyplectron katsumatae;;3;0
Malayan Peacock-Pheasant;Polyplectron malacense;;34;1
Bornean Peacock-Pheasant;Polyplectron schleiermacheri;;19;0
Palawan Peacock-Pheasant;Polyplectron napoleonis;;8;1
Crested Argus;Rheinardia ocellata;;1;0
Great Argus;Argusianus argus;;75;34
Indian Peafowl;Pavo cristatus;;69;73
Green Peafowl;Pavo muticus;;15;1
Congo Peafowl;Afropavo congensis;;0;0
Red-throated Loon;Gavia stellata;;178;31
Black-throated Loon;Gavia arctica;;52;11
Pacific Loon;Gavia pacifica;;19;2
Common Loon;Gavia immer;;128;32
Yellow-billed Loon;Gavia adamsii;;5;0
King Penguin;Aptenodytes patagonicus;;35;12
Emperor Penguin;Aptenodytes forsteri;;3;0
Gentoo Penguin;Pygoscelis papua;;20;4
Adelie Penguin;Pygoscelis adeliae;;18;0
Chinstrap Penguin;Pygoscelis antarcticus;;16;2
Fiordland Penguin;Eudyptes pachyrhynchus;;2;0
Snares Penguin;Eudyptes robustus;;4;0
Erect-crested Penguin;Eudyptes sclateri;;2;0
Southern Rockhopper Penguin;Eudyptes chrysocome;;12;2
